"therapy_id","budget","mcid_thres","num_patients_total","num_patients_treated","num_patients_success","therapy_cost_total","prop_patients_success"
"Cramer_IC_2019",1e+06,4.2,100,100,72,195547,0.72
"Cramer_IC_2019",1e+06,4.4,100,100,71,195547,0.71
"Cramer_IC_2019",1e+06,4.6,100,100,70,195547,0.7
"Cramer_IC_2019",1e+06,4.8,100,100,69,195547,0.69
"Cramer_IC_2019",1e+06,5,100,100,68,195547,0.68
"Cramer_IC_2019",1e+06,5.2,100,100,67,195547,0.67
"Cramer_IC_2019",1e+06,5.4,100,100,66,195547,0.66
"Cramer_IC_2019",1e+06,5.6,100,100,65,195547,0.65
"Cramer_IC_2019",1e+06,5.8,100,100,64,195547,0.64
"Cramer_IC_2019",1e+06,6,100,100,63,195547,0.63
"Cramer_IC_2019",1e+06,6.2,100,100,61,195547,0.61
"Cramer_IC_2019",1e+06,6.4,100,100,60,195547,0.6
"Cramer_IC_2019",1e+06,6.6,100,100,59,195547,0.59
"Cramer_IC_2019",1e+06,6.8,100,100,58,195547,0.58
"Cramer_IC_2019",1e+06,7,100,100,57,195547,0.57
"Cramer_IC_2019",1e+06,7.2,100,100,56,195547,0.56
"Cramer_TR_2019",1e+06,4.2,100,100,71,56854,0.71
"Cramer_TR_2019",1e+06,4.4,100,100,70,56854,0.7
"Cramer_TR_2019",1e+06,4.6,100,100,69,56854,0.69
"Cramer_TR_2019",1e+06,4.8,100,100,68,56854,0.68
"Cramer_TR_2019",1e+06,5,100,100,67,56854,0.67
"Cramer_TR_2019",1e+06,5.2,100,100,66,56854,0.66
"Cramer_TR_2019",1e+06,5.4,100,100,64,56854,0.64
"Cramer_TR_2019",1e+06,5.6,100,100,63,56854,0.63
"Cramer_TR_2019",1e+06,5.8,100,100,62,56854,0.62
"Cramer_TR_2019",1e+06,6,100,100,61,56854,0.61
"Cramer_TR_2019",1e+06,6.2,100,100,60,56854,0.6
"Cramer_TR_2019",1e+06,6.4,100,100,59,56854,0.59
"Cramer_TR_2019",1e+06,6.6,100,100,57,56854,0.57
"Cramer_TR_2019",1e+06,6.8,100,100,56,56854,0.56
"Cramer_TR_2019",1e+06,7,100,100,55,56854,0.55
"Cramer_TR_2019",1e+06,7.2,100,100,54,56854,0.54
"Ward_2019",1e+06,4.2,100,100,99,495675,0.99
"Ward_2019",1e+06,4.4,100,100,99,495675,0.99
"Ward_2019",1e+06,4.6,100,100,99,495675,0.99
"Ward_2019",1e+06,4.8,100,100,99,495675,0.99
"Ward_2019",1e+06,5,100,100,99,495675,0.99
"Ward_2019",1e+06,5.2,100,100,99,495675,0.99
"Ward_2019",1e+06,5.4,100,100,99,495675,0.99
"Ward_2019",1e+06,5.6,100,100,99,495675,0.99
"Ward_2019",1e+06,5.8,100,100,99,495675,0.99
"Ward_2019",1e+06,6,100,100,98,495675,0.98
"Ward_2019",1e+06,6.2,100,100,98,495675,0.98
"Ward_2019",1e+06,6.4,100,100,97,495675,0.97
"Ward_2019",1e+06,6.6,100,100,96,495675,0.96
"Ward_2019",1e+06,6.8,100,100,95,495675,0.95
"Ward_2019",1e+06,7,100,100,93,495675,0.93
"Ward_2019",1e+06,7.2,100,100,91,495675,0.91
"Daly_2019",1e+06,4.2,100,100,77,764520,0.77
"Daly_2019",1e+06,4.4,100,100,76,764520,0.76
"Daly_2019",1e+06,4.6,100,100,74,764520,0.74
"Daly_2019",1e+06,4.8,100,100,73,764520,0.73
"Daly_2019",1e+06,5,100,100,72,764520,0.72
"Daly_2019",1e+06,5.2,100,100,72,764520,0.72
"Daly_2019",1e+06,5.4,100,100,71,764520,0.71
"Daly_2019",1e+06,5.6,100,100,70,764520,0.7
"Daly_2019",1e+06,5.8,100,100,69,764520,0.69
"Daly_2019",1e+06,6,100,100,68,764520,0.68
"Daly_2019",1e+06,6.2,100,100,67,764520,0.67
"Daly_2019",1e+06,6.4,100,100,66,764520,0.66
"Daly_2019",1e+06,6.6,100,100,65,764520,0.65
"Daly_2019",1e+06,6.8,100,100,64,764520,0.64
"Daly_2019",1e+06,7,100,100,63,764520,0.63
"Daly_2019",1e+06,7.2,100,100,62,764520,0.62
"McCabe_2015",1e+06,4.2,100,100,97,764520,0.97
"McCabe_2015",1e+06,4.4,100,100,96,764520,0.96
"McCabe_2015",1e+06,4.6,100,100,95,764520,0.95
"McCabe_2015",1e+06,4.8,100,100,93,764520,0.93
"McCabe_2015",1e+06,5,100,100,91,764520,0.91
"McCabe_2015",1e+06,5.2,100,100,89,764520,0.89
"McCabe_2015",1e+06,5.4,100,100,87,764520,0.87
"McCabe_2015",1e+06,5.6,100,100,86,764520,0.86
"McCabe_2015",1e+06,5.8,100,100,84,764520,0.84
"McCabe_2015",1e+06,6,100,100,81,764520,0.81
"McCabe_2015",1e+06,6.2,100,100,79,764520,0.79
"McCabe_2015",1e+06,6.4,100,100,76,764520,0.76
"McCabe_2015",1e+06,6.6,100,100,73,764520,0.73
"McCabe_2015",1e+06,6.8,100,100,68,764520,0.68
"McCabe_2015",1e+06,7,100,100,65,764520,0.65
"McCabe_2015",1e+06,7.2,100,100,61,764520,0.61
"Cramer_TR_2021",1e+06,4.2,100,100,81,86175,0.81
"Cramer_TR_2021",1e+06,4.4,100,100,79,86175,0.79
"Cramer_TR_2021",1e+06,4.6,100,100,77,86175,0.77
"Cramer_TR_2021",1e+06,4.8,100,100,75,86175,0.75
"Cramer_TR_2021",1e+06,5,100,100,73,86175,0.73
"Cramer_TR_2021",1e+06,5.2,100,100,70,86175,0.7
"Cramer_TR_2021",1e+06,5.4,100,100,67,86175,0.67
"Cramer_TR_2021",1e+06,5.6,100,100,65,86175,0.65
"Cramer_TR_2021",1e+06,5.8,100,100,62,86175,0.62
"Cramer_TR_2021",1e+06,6,100,100,60,86175,0.6
"Cramer_TR_2021",1e+06,6.2,100,100,58,86175,0.58
"Cramer_TR_2021",1e+06,6.4,100,100,54,86175,0.54
"Cramer_TR_2021",1e+06,6.6,100,100,51,86175,0.51
"Cramer_TR_2021",1e+06,6.8,100,100,48,86175,0.48
"Cramer_TR_2021",1e+06,7,100,100,45,86175,0.45
"Cramer_TR_2021",1e+06,7.2,100,100,43,86175,0.43
"Dodakian_2017",1e+06,4.2,100,100,56,70880,0.56
"Dodakian_2017",1e+06,4.4,100,100,54,70880,0.54
